Date,Open,High,Low,Close,Adj Close,Volume
6/26/2018,4.35,4.38,4.3,4.36,3.621539,439900
6/27/2018,4.38,4.39,4.36,4.37,3.629845,955700
6/28/2018,4.37,4.38,4.33,4.37,3.629845,1356200
6/29/2018,4.4,4.42,4.39,4.41,3.66307,1062100
7/2/2018,4.49,4.52,4.47,4.51,3.746133,770600
7/3/2018,4.48,4.49,4.43,4.43,3.679682,348400
7/5/2018,4.52,4.57,4.49,4.53,3.762745,425700
7/6/2018,4.51,4.57,4.51,4.57,3.795971,393600
7/9/2018,4.65,4.67,4.61,4.66,3.870727,300300
7/10/2018,4.66,4.69,4.66,4.68,3.88734,311700
7/11/2018,4.61,4.67,4.56,4.57,3.795971,731400
7/12/2018,4.58,4.62,4.57,4.61,3.829196,171200
7/13/2018,4.63,4.65,4.6,4.63,3.845809,322500
7/16/2018,4.66,4.68,4.62,4.65,3.862421,245400
7/17/2018,4.57,4.6,4.54,4.56,3.787664,274700
7/18/2018,4.34,4.37,4.32,4.37,3.842175,666400
7/19/2018,4.32,4.33,4.27,4.29,3.771838,587500
7/20/2018,4.29,4.33,4.27,4.31,3.789423,865000
7/23/2018,4.36,4.39,4.35,4.37,3.842175,316700
7/24/2018,4.4,4.45,4.35,4.37,3.842175,1157500
7/25/2018,4.36,4.42,4.36,4.42,3.886137,629800
7/26/2018,4.37,4.39,4.36,4.36,3.833384,673800
7/27/2018,4.37,4.39,4.35,4.37,3.842175,806500
7/30/2018,4.43,4.47,4.42,4.46,3.921305,716000
7/31/2018,4.49,4.55,4.48,4.54,3.991643,841400
8/1/2018,4.49,4.51,4.48,4.51,3.965266,239300
8/2/2018,4.44,4.44,4.38,4.42,3.886137,184300
8/3/2018,4.43,4.47,4.43,4.46,3.921305,193900
8/6/2018,4.38,4.41,4.37,4.38,3.850968,261500
8/7/2018,4.43,4.46,4.41,4.43,3.894928,246600
8/8/2018,4.4,4.42,4.33,4.35,3.824591,256700
8/9/2018,4.35,4.36,4.31,4.32,3.798215,314000
8/10/2018,4.28,4.31,4.25,4.28,3.763047,355400
8/13/2018,4.21,4.24,4.17,4.21,3.701501,440400
8/14/2018,4.21,4.26,4.19,4.26,3.745462,392900
8/15/2018,4.17,4.19,4.13,4.17,3.666332,423100
8/16/2018,4.18,4.24,4.17,4.19,3.683917,421600
8/17/2018,4.17,4.23,4.14,4.22,3.710293,230500
8/20/2018,4.2,4.22,4.17,4.2,3.692709,215600
8/21/2018,4.22,4.29,4.22,4.25,3.73667,407300
8/22/2018,4.23,4.25,4.17,4.2,3.692709,864800
8/23/2018,4.23,4.23,4.13,4.13,3.631164,173000
8/24/2018,4.2,4.26,4.2,4.26,3.745462,270700
8/27/2018,4.25,4.3,4.25,4.27,3.754254,341500
8/28/2018,4.31,4.33,4.26,4.28,3.763047,299300
8/29/2018,4.33,4.36,4.29,4.35,3.824591,388300
8/30/2018,4.32,4.32,4.25,4.26,3.745462,290100
8/31/2018,4.3,4.44,4.3,4.43,3.894928,480400
9/4/2018,4.33,4.33,4.3,4.32,3.798215,863500
9/5/2018,4.33,4.35,4.29,4.35,3.824591,329200
9/6/2018,4.3,4.3,4.23,4.26,3.745462,466100
9/7/2018,4.24,4.29,4.24,4.28,3.763047,598500
9/10/2018,4.26,4.29,4.24,4.26,3.745462,214200
9/11/2018,4.32,4.38,4.31,4.37,3.842175,510500
9/12/2018,4.47,4.52,4.46,4.5,3.956474,443100
9/13/2018,4.51,4.54,4.46,4.48,3.938889,357200
9/14/2018,4.5,4.51,4.47,4.47,3.930097,296500
9/17/2018,4.54,4.58,4.54,4.56,4.009227,560900
9/18/2018,4.65,4.68,4.65,4.68,4.114733,1215700
9/19/2018,4.74,4.74,4.66,4.66,4.097148,875100
9/20/2018,4.74,4.75,4.66,4.68,4.114733,856800
9/21/2018,4.72,4.77,4.71,4.75,4.176278,243200
9/24/2018,4.72,4.84,4.72,4.81,4.229031,908600
9/25/2018,4.82,4.89,4.82,4.87,4.281784,413800
9/26/2018,4.84,4.88,4.8,4.82,4.237823,469100
9/27/2018,4.91,4.93,4.89,4.92,4.325745,960400
9/28/2018,4.94,5,4.94,4.97,4.369705,502700
10/1/2018,4.96,4.97,4.92,4.97,4.369705,830400
10/2/2018,4.98,5,4.97,4.99,4.38729,517600
10/3/2018,5.14,5.19,5.13,5.17,4.545549,901900
10/4/2018,5.1,5.11,5,5.01,4.404875,997700
10/5/2018,5.13,5.16,5.12,5.15,4.527965,423400
10/8/2018,5.12,5.21,5.12,5.21,4.580718,2103900
10/9/2018,5.27,5.28,5.18,5.23,4.598302,498400
10/10/2018,5.1,5.11,4.92,4.93,4.334537,599200
10/11/2018,4.91,4.92,4.84,4.87,4.281784,464200
10/12/2018,5.05,5.07,5,5.07,4.457627,544400
10/15/2018,5.02,5.03,4.96,4.97,4.369705,1118600
10/16/2018,4.98,5.1,4.95,5.06,4.448835,226100
10/17/2018,5.03,5.04,4.99,4.99,4.38729,161100
10/18/2018,4.89,4.91,4.85,4.87,4.281784,282400
10/19/2018,4.87,4.93,4.85,4.93,4.334537,542900
10/22/2018,4.88,4.89,4.78,4.8,4.220239,495300
10/23/2018,4.74,4.75,4.69,4.74,4.167485,588800
10/24/2018,4.77,4.8,4.7,4.7,4.132317,241300
10/25/2018,4.69,4.78,4.69,4.75,4.176278,283200
10/26/2018,4.62,4.67,4.6,4.66,4.097148,363500
10/29/2018,4.67,4.68,4.6,4.62,4.06198,370400
10/30/2018,4.62,4.66,4.59,4.66,4.097148,518100
10/31/2018,4.7,4.75,4.68,4.7,4.132317,326100
11/1/2018,4.71,4.73,4.68,4.72,4.149901,245300
11/2/2018,4.68,4.71,4.65,4.66,4.097148,387200
11/5/2018,4.68,4.73,4.68,4.72,4.149901,289800
11/6/2018,4.74,4.76,4.72,4.76,4.185071,177600
11/7/2018,4.75,4.81,4.75,4.81,4.229031,216100
11/8/2018,4.75,4.79,4.71,4.71,4.141109,335200
11/9/2018,4.54,4.55,4.51,4.55,4.000435,479800
11/12/2018,4.5,4.5,4.43,4.44,3.903721,514900
11/13/2018,4.46,4.47,4.38,4.38,3.850968,390800
11/14/2018,4.51,4.56,4.49,4.55,4.000435,295000
11/15/2018,4.64,4.69,4.63,4.68,4.114733,230100
11/16/2018,4.64,4.66,4.6,4.64,4.079564,115100
11/19/2018,4.7,4.71,4.66,4.71,4.141109,462200
11/20/2018,4.63,4.64,4.56,4.6,4.044395,165200
11/21/2018,4.63,4.66,4.61,4.65,4.088356,153600
11/23/2018,4.59,4.61,4.57,4.61,4.053188,72400
11/26/2018,4.45,4.51,4.44,4.51,3.965266,324600
11/27/2018,4.57,4.63,4.57,4.6,4.044395,172000
11/28/2018,4.89,5,4.87,4.99,4.38729,1372000
11/29/2018,5,5.01,4.94,4.95,4.352121,393500
